,community
360ONE,0
3MINDIA,1
AARTIIND,2
AAVAS,3
ABB,4
ABBOTINDIA,5
ABCAPITAL,6
ABFRL,7
ABREL,8
ABSLAMC,9
ACC,25
ACE,11
ADANIENSOL,41
ADANIENT,25
ADANIGREEN,41
ADANIPORTS,25
ADANIPOWER,41
AFFLE,17
AIAENG,18
AJANTPHARM,19
AKZOINDIA,20
ALKEM,21
ALKYLAMINE,22
ALOKINDS,23
AMBER,24
AMBUJACEM,25
ANANDRATHI,26
ANANTRAJ,27
ANGELONE,28
APARINDS,29
APLAPOLLO,30
APLLTD,31
APOLLOHOSP,32
APOLLOTYRE,33
APTUS,34
ASAHIINDIA,35
ASHOKLEY,36
ASIANPAINT,37
ASTERDM,38
ASTRAL,39
ASTRAZEN,40
ATGL,41
ATUL,42
AUBANK,43
AUROPHARMA,44
AWL,45
AXISBANK,46
BAJAJ-AUTO,47
BAJAJFINSV,48
BAJAJHLDNG,49
BAJFINANCE,48
BALKRISIND,51
BALRAMCHIN,52
BANDHANBNK,53
BANKBARODA,68
BANKINDIA,68
BASF,56
BATAINDIA,57
BAYERCROP,58
BDL,59
BEL,60
BEML,61
BERGEPAINT,62
BHARATFORG,63
BHEL,60
BLS,65
BSE,66
DMART,67
MAHABANK,68
ENGINERSIN,69
ERIS,70
ESCORTS,71
ETERNAL,72
EXIDEIND,73
FACT,74
FEDERALBNK,75
FINCABLES,76
FINPIPE,77
FIVESTAR,78
FLUOROCHEM,79
FORCEMOT,80
FORTIS,81
FSL,82
GAIL,83
GESHIP,84
GICRE,85
GILLETTE,86
GLAND,87
GLAXO,88
GLENMARK,89
GMDCLTD,90
GMRAIRPORT,91
GODFRYPHLP,92
GODREJAGRO,93
GODREJCP,94
GODREJIND,95
GODREJPROP,96
GPIL,97
GRANULES,64
GRAPHITE,10
GRASIM,12
GRAVITA,13
GRSE,14
GSPL,15
GUJGASLTD,16
GVT&D,50
MEDANTA,54
NYKAA,55
