,360ONE,3MINDIA,AARTIIND,AAVAS,ABB,ABBOTINDIA,ABCAPITAL,ABFRL,ABREL,ABSLAMC,ACC,ACE,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,AFFLE,AIAENG,AJANTPHARM,AKZOINDIA,ALKEM,ALKYLAMINE,ALOKINDS,AMBER,AMBUJACEM,ANANDRATHI,ANANTRAJ,ANGELONE,APARINDS,APLAPOLLO,APLLTD,APOLLOHOSP,APOLLOTYRE,APTUS,ASAHIINDIA,ASHOKLEY,ASIANPAINT,ASTERDM,ASTRAL,ASTRAZEN,ATGL,ATUL,AUBANK,AUROPHARMA,AWL,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BALKRISIND,BALRAMCHIN,BANDHANBNK,BANKBARODA,BANKINDIA,BASF,BATAINDIA,BAYERCROP,BDL,BEL,BEML,BERGEPAINT,BHARATFORG,BHEL,BLS,BSE,DMART,MAHABANK,ENGINERSIN,ERIS,ESCORTS,ETERNAL,EXIDEIND,FACT,FEDERALBNK,FINCABLES,FINPIPE,FIVESTAR,FLUOROCHEM,FORCEMOT,FORTIS,FSL,GAIL,GESHIP,GICRE,GILLETTE,GLAND,GLAXO,GLENMARK,GMDCLTD,GMRAIRPORT,GODFRYPHLP,GODREJAGRO,GODREJCP,GODREJIND,GODREJPROP,GPIL,GRANULES,GRAPHITE,GRASIM,GRAVITA,GRSE,GSPL,GUJGASLTD,GVT&D,MEDANTA,NYKAA
360ONE,1.0,0.08846361357250913,0.19865478254165,0.10584006675755227,0.20539523398193504,0.1135119160972061,0.24161291595093837,0.11872775402697804,0.19559825192781363,0.2787528025047889,0.21096129313278014,0.1577684030381618,0.13191302640632813,0.12074634342569368,0.1505072086491027,0.16270083159706486,0.15854749571095103,0.239792150344079,0.1529401061179823,0.10014411477524802,0.11952130920432771,0.11759697865210958,0.192561225503331,0.18447454163550178,0.14558285899882342,0.19619869949625687,0.1455452158944129,0.2720943224363304,0.25583130880959426,0.22586921323947393,0.2301156439278708,0.12318674811011847,0.1510045845867985,0.19441924484349588,0.11685371439560176,0.19268367287169857,0.21598584238014729,0.07935339423303851,0.09765126255729868,0.18767528078098064,0.10480487461872393,0.16576952765479255,0.18509661896783908,0.14350805071423373,0.16389793410118517,0.15980336738087839,0.14577104214878892,0.15102195250236744,0.15830503518851397,0.14504964268008005,0.14798300035946274,0.14238709145531026,0.20730349540786047,0.18953699885610564,0.23255045144708397,0.22635055232650825,0.12724276367916787,0.15781506434242773,0.17973352206024762,0.18731951454652448,0.24326788918343323,0.21947576115754783,0.12391555880457834,0.24929912614478736,0.23736890085216544,0.22670635890025387,0.18122058524566634,0.08641136749575261,0.19917260095602757,0.1826203352564546,0.1401375674619956,0.1635251908751216,0.1479195107210523,0.20564268207569142,0.1765489249592545,0.21155886759572182,0.1702525077771902,0.18840750449996854,0.09011292147184954,0.12248038373542565,0.16040840619984176,0.1621869041232369,0.19196028243875599,0.24997467298631623,0.17920877014276176,0.16194959851578408,0.1365663150746839,0.07963246217768404,0.1031804186443161,0.17795894121530867,0.17964125287753618,0.261624938066752,0.07629990696435106,0.17431544137520782,0.05542785133570095,0.15491874866502903,0.22292601504244974,0.07595328025940412,0.20065669256815294,0.20504448381486162,0.15196105330764192,0.21921585044365555,0.23067294325123575,0.17247447900450158,0.21385879102173452,0.13450337210909716,0.12674977433385867,0.13072515336407223
3MINDIA,0.08846361357250913,1.0,0.20669164780067417,0.07311688561483413,0.16401040204094527,0.0528582261237952,0.20495978442404295,0.08769813768346629,0.18032235643072256,0.1440725578873397,0.18070139709924274,0.22148506122723938,0.15025228841032492,0.13498537844495215,0.12431796970706281,0.17284877919689506,0.15687574278286728,0.12520202843308625,0.13077879861636682,0.13023653344223513,0.1779890489718922,0.06715762624109893,0.11858050042103002,0.08192483629935865,0.09609620726319815,0.21404888405356234,0.10438632247245469,0.16324872627591402,0.13396569046121556,0.08564751949884346,0.1457746835086401,0.1277873261542329,0.10962561022542339,0.18383756865653975,0.09252405983312069,0.1943773607589081,0.20776744225035068,0.1167434211506308,0.08519901806075802,0.1238491659140758,0.11246433841702773,0.10011652250031877,0.2035240438518007,0.07958713761498186,0.11000622545804208,0.17263530558681983,0.13793269403751138,0.08369999469496013,0.1344177316782212,0.07173938125915014,0.10259085580616956,0.18986534885076672,0.1369574998582825,0.1419551304620056,0.20010978274630775,0.16071024084103105,0.10666429606482848,0.15499069004144847,0.15806192947363687,0.18740125365955404,0.1964851607944149,0.1921459329091393,0.1250626106341858,0.18905457470756287,0.19729679222964983,0.18089623002291147,0.06502360141732837,0.06903035710387832,0.1670271461124403,0.1978721040744072,0.1415865323709464,0.2245384720277899,0.08951477810328126,0.22369571723185186,0.14435809651092993,0.1490577509597574,0.1452438395108935,0.16408633346754423,0.10895518598570776,0.10792204959964895,0.14577101496503006,0.1593521424261736,0.14177066435416963,0.1724665094124793,0.20646298151797587,0.16132633780105263,0.07802513143396564,0.041252059113666535,0.16224098736932085,0.10324498579486294,0.1260707682061293,0.1709752789388766,0.09203019891509816,0.16130415143615065,0.10029711413387273,0.11368043520351219,0.18583198554694053,0.09944202583140564,0.17716934020783304,0.11951074846737107,0.2017138685507005,0.16298964202466773,0.12957834061888143,0.12548429318374366,0.1498026860073546,0.10027863630843868,0.08282044214244477,0.16512681720593025
AARTIIND,0.19865478254165,0.20669164780067417,1.0,0.149039759056144,0.2884380987898512,0.22331527492281492,0.3884468481305971,0.17426533150556706,0.2745929110055243,0.32689424016740354,0.37006535878188784,0.28470658930757975,0.27377421924718187,0.27247059760888764,0.23822830751549942,0.34251518268481124,0.22136511157687694,0.3382767101214381,0.22599648337595132,0.20770569276294212,0.2604428184699317,0.249477167252133,0.37196483157585286,0.33301561329256824,0.23140803197433854,0.3340165888370372,0.11391396299782913,0.3692246744806265,0.30484810731352197,0.20013915072520588,0.2971330076720794,0.25269701477883677,0.2746931656347255,0.37415625304620037,0.21653877532306146,0.2595873521723938,0.32527690286172006,0.31327154803476165,0.1796801936750051,0.3574325628875648,0.11914381742751222,0.23642765460598428,0.48563637095372897,0.21932506589676787,0.290714791833825,0.2581775004579816,0.26170737610887695,0.23948141078850635,0.2516286749072634,0.17984519567796622,0.23869751878400847,0.2918341708073717,0.3327606320827606,0.3536660438707035,0.3703261130952696,0.3431322389984973,0.33146014346507474,0.2870341537488338,0.20880418516044014,0.26174068369586173,0.346339915610972,0.30586707896143683,0.30855918157602785,0.36882147965423184,0.38363223764831034,0.29153101935513087,0.27647687543204114,0.1885586256003665,0.3622436279449915,0.298693699955556,0.23019737169158946,0.3117724062614456,0.27142258675443126,0.4376452430116334,0.3587094081556375,0.3148349286291731,0.23358781013064203,0.29512490368282557,0.18809343522242095,0.31640366334602876,0.23285519264975385,0.1815953023701536,0.3058561989206443,0.3851478573615177,0.2459962908375087,0.281877909550256,0.15079757078327571,0.14815866656788254,0.27484406665182115,0.2952896491054333,0.3036792062106812,0.3467224003399877,0.17583652696075816,0.3600929720510045,0.16477000211625936,0.1834520920543618,0.3670933610510591,0.12019222308354163,0.42142275784646616,0.3604481891377544,0.3941657651067558,0.2910381804739184,0.25307788890335425,0.2525328875839238,0.37978050175803346,0.21065153845918777,0.23295491324327655,0.26627507178198795
AAVAS,0.10584006675755227,0.07311688561483413,0.149039759056144,1.0,0.13564854949644828,0.09111473157909825,0.23629172596636125,0.06418571089679131,0.17226529973300145,0.2293152777068615,0.2042766270304113,0.12004387606337363,0.17906046219046137,0.10011530799307582,0.12790731567246844,0.154217728796325,0.11633147335938476,0.18177565429980333,0.1421198221715158,0.04650537226710518,0.1389445055286404,0.08839811859619932,0.179466871829482,0.1976637315882763,0.12394932194445822,0.1717603983406583,0.06351412462541532,0.18268273805268584,0.16983190235126047,0.0735587381020573,0.10607055957939554,0.09716780478851027,0.03554897725758379,0.09828104850470647,0.20533666073609214,0.19492608251548246,0.18955930716334218,0.023160843741907997,0.08438450231571042,0.07743951643842864,0.033658978061683206,0.1314110181108187,0.12311863594606265,0.10971580150926145,0.04829273165984621,0.1298395974741023,0.18758959296399125,0.09128854277954208,0.20057757880118057,0.1011841817912717,0.18788180948155098,0.07772142582962789,0.15677147941611547,0.21193334927462176,0.1771358665180653,0.171764957533997,0.16591739116421905,0.07506262728937127,0.13636875155903666,0.09023150329716423,0.20604438820680546,0.13046464810175623,0.0712166853740786,0.14515709873116733,0.19483633547629528,0.15039745072154048,0.07915954395129976,0.0999109326993656,0.22306649178363022,0.2543362069811449,0.08187481653203937,0.14402453258522727,0.07106242085148015,0.1929906402287295,0.14782225027287257,0.15375776131024993,0.09990108125899529,0.13549210463668035,0.20745578140715942,0.1493236461729814,0.1668093507136283,0.15290082187665852,0.0884749065864447,0.2220157116769388,0.12763926367810138,0.05779159029806174,0.15138503332512093,0.07838140175041237,0.09300161921776161,0.13311857987493456,0.15843233434657464,0.17592313937297127,0.06453334186130415,0.13335640439479088,0.048671044235229256,0.12904920649454218,0.21788680689481435,0.02262249312394547,0.1315534047643544,0.16083812455250626,0.1376639325495896,0.1489700734795797,0.12698123684238366,0.10670431653431993,0.1447668991135112,0.06921723700650985,0.11178936364250198,0.17174177602224897
ABB,0.20539523398193504,0.16401040204094527,0.2884380987898512,0.13564854949644828,1.0,0.18305827339957156,0.30922444839418284,0.117211392701848,0.27074484028254353,0.30643464011863103,0.3866885550809011,0.3033729194647763,0.2795323695560343,0.3056043899306887,0.22913866901747182,0.42313096369811004,0.24279489320488404,0.27159708576977554,0.14218231556947478,0.07733592965482214,0.17178326996348972,0.2230962966465332,0.20313670786734772,0.20291361668953511,0.19154511359213025,0.3959621970778613,0.11542603287816264,0.3367520456210738,0.24371441511806552,0.22774785964898261,0.29138759172219086,0.16030211531654054,0.21308799028451367,0.26070934595270945,0.13163307118972017,0.168502680389606,0.3607933018743494,0.20389848487718817,0.08535991227266232,0.3168868792967373,0.15166254215643032,0.19186802650940415,0.2709095816654375,0.08569667398671331,0.2694770297974963,0.2357254680805654,0.2833582760841522,0.1966794498890185,0.20464969121336093,0.13719121524362568,0.1750787843863407,0.2667672717643122,0.29577925552853407,0.27750220691890265,0.37508671732145954,0.26968195279440804,0.2704870145452257,0.1933530039589315,0.17065838558831195,0.3183155198285099,0.48862830856482675,0.3812638675054479,0.19735681201714386,0.39383418025690853,0.47741769646538795,0.2490830209190146,0.1883232394274785,0.07343970701555617,0.30441474779223615,0.34229526119306075,0.14470409691133626,0.31266354859672346,0.18310156944007316,0.35611444912580237,0.21933834720294207,0.29799450602660776,0.2506782480608364,0.21587342554601166,0.21833013018163172,0.22521950204016855,0.20907181117097595,0.1908543639079438,0.17245419507216483,0.38244049763238985,0.265867997463484,0.30178049985775063,0.12148165148318338,0.10760068991655002,0.16458242546448612,0.24007518372335576,0.286394869243059,0.342145552081599,0.1403388200136566,0.24596979236071062,0.14988369409308192,0.1387808132987339,0.4190373685247813,0.09202031761159482,0.2668050992634766,0.2995650695007178,0.2790598943300164,0.25419528403908026,0.2745815776571589,0.16407240362831832,0.30870904581858244,0.21457437773867483,0.2107483746775395,0.1916517649070091
ABBOTINDIA,0.1135119160972061,0.0528582261237952,0.22331527492281492,0.09111473157909825,0.18305827339957156,1.0,0.17924207772730896,0.09482594171942324,0.12234577694560558,0.12228306946420649,0.09632149451112999,0.12483720164833713,0.0678931419876463,0.1485889378138065,0.06387103523871328,0.18152764826712925,0.020606524488182787,0.17979681194277847,0.05950393718096101,0.14574376739968983,0.15990576042193297,0.2190042846413987,0.10279187427428363,0.1452024222004714,0.041723110421013884,0.12544314881804017,0.09878869225631783,0.1866896937550223,0.10576488044537252,0.1397759699406991,0.1078361711656136,0.1670002655223282,0.2528743410881484,0.1934959102783726,0.07854902917030915,0.11217411114629774,0.12967702051199792,0.1349394613560791,0.04345565863642323,0.16737852076923188,0.13256588705536662,0.0783391151203395,0.21291602743510446,0.048730100161299895,0.2523389298644628,0.10974641072535618,0.12220650717763883,0.14778837746443999,0.09769458958811422,0.10417701697227826,0.12649920293297687,0.20821859103170864,0.13544997120564847,0.14888855183613214,0.14810465573510645,0.12444419381392287,0.12339547949754856,0.09624352715644512,0.13835679882027604,0.08824270592580938,0.14639654432221125,0.06996156645098404,0.18116302150622351,0.14600368402688166,0.1167618766873357,0.155709408741136,0.014467296211741918,0.028157729100224054,0.12079771193883071,0.14698114386756972,0.16787590060073643,0.16300461005597078,0.1259428138239155,0.17206411547096478,0.10144965975446232,0.15438011436019547,0.09160957787483759,0.09981465129091956,0.053818495259333146,0.0749965877635729,0.11967644468695093,0.15563044153122002,0.10059546388166467,0.15320986906451492,0.09250653776275543,0.16874205203604484,0.15063046697424815,0.13417294768079513,0.2520578384658397,0.2622764067186538,0.1029764102150472,0.17680802723152986,0.08576293464248032,0.10205254026943404,0.08304029262374793,0.0515234949034969,0.15370651616975164,0.06668369618577692,0.2621898089413431,0.07054710342702443,0.2059602727279761,0.12437119928239761,0.07571544606998065,0.09004620647163496,0.17434360194336807,0.075484750565694,0.11716761786656317,0.11651576113759393
ABCAPITAL,0.24161291595093837,0.20495978442404295,0.3884468481305971,0.23629172596636125,0.30922444839418284,0.17924207772730896,1.0,0.22788191729739352,0.36115625625734676,0.34174479879765685,0.4627452271674368,0.3474486540375661,0.26108547444313457,0.33759683608565577,0.2523710518344379,0.432291426759157,0.29578424392137576,0.33470069187003704,0.1645540363715314,0.15078851418507125,0.18523455496928584,0.19537867629898975,0.2553114654115171,0.30382849246658217,0.24341759512432035,0.4350648644086331,0.10451354044774591,0.36464497436338633,0.3912282833271851,0.18699783761529273,0.29926525199673054,0.21658047673998518,0.2023699593475818,0.3064610245210386,0.2723118057661281,0.2654518783544769,0.42452523685809557,0.20892778058996095,0.1453715243012811,0.3524163528937591,0.09665281926014938,0.2140619447543669,0.3175545808040359,0.28377525651435836,0.24483648545595962,0.28082107414220897,0.3626726965198308,0.2750150791847063,0.40526451687216297,0.1642636930312668,0.3783454897165642,0.26355247849904556,0.4088813121309514,0.44676711268378955,0.5000600287025888,0.4693504469551875,0.21560732819241898,0.24542070701051497,0.14453944376232658,0.2998081061395163,0.4427447636763022,0.36062341039358226,0.2091185232997797,0.4357887706600695,0.4911401207654375,0.2929443539330674,0.2760726574208683,0.08604125348251856,0.4748785438167163,0.42119878081331197,0.21208047475362535,0.362671477833024,0.29087642413562576,0.43188833738890975,0.3014485484591552,0.37757326860939905,0.26953914440548216,0.2736755273419819,0.2666502748577806,0.23007227171742334,0.27904789456710793,0.23850497861279774,0.25611129048686737,0.4507509851947629,0.27793312407508597,0.34886139189227194,0.1366459867938478,0.15917299248703382,0.2170801727467608,0.31123541173912056,0.40876283573312366,0.4758046725155251,0.17294500043572517,0.21939725180961347,0.10457883384044381,0.24075291922744974,0.4565052629981422,0.13066837369484732,0.3147564574032683,0.3561950393641065,0.4170281738927528,0.29433203890998183,0.32079851688951205,0.18249557661719673,0.35465968842205214,0.2001291362691321,0.20115887090978635,0.21256531823162306
ABFRL,0.11872775402697804,0.08769813768346629,0.17426533150556706,0.06418571089679131,0.117211392701848,0.09482594171942324,0.22788191729739352,1.0,0.13264176894139415,0.15099749689482703,0.19252784429347286,0.1500916048540899,0.11381864157724406,0.14488359548182503,0.1487421605498186,0.18242972821009837,0.13145976980571494,0.1551930518521505,0.09499281172163032,0.11343743112062034,0.10978598654103847,0.12899843167424702,0.12086343146469988,0.12803700283186772,0.11892681395034997,0.17814548968738075,0.039141743545586145,0.14183356749824155,0.11146407377371863,0.07361188434471938,0.11503855005190435,0.08122813947709079,0.10611514527739577,0.11876870593544248,0.0685423426470102,0.16198225643604416,0.19039092344460085,0.11338177522716172,0.015378325380005498,0.05314603284391705,0.06898835361989804,0.1358760857254056,0.05576733680320561,0.09115006583790629,0.125393213756937,0.14045679854632348,0.134019115285288,0.13589309408783581,0.18309552390116288,0.05645329556227447,0.1344606516863478,0.15106509490681647,0.17124158241258652,0.1978778874301581,0.17888770500588044,0.19010745629081613,0.11223346048763698,0.12249220419737639,0.10568880427254514,0.10125159403456686,0.1793441208870251,0.1327671125242164,0.021941740794163847,0.1587568992198315,0.195582133379841,0.14639821720619114,0.16691387534502758,0.08509440847086949,0.21348492157715734,0.16889660633876497,0.06738170050205193,0.17150315268856342,0.10929084662356416,0.20542608876360852,0.13117892926703847,0.139027311031676,0.12432135784121588,0.0869699364877428,0.046577066114374614,0.09766365031571839,0.1030016566553771,-0.05023237462916119,0.11090736603863212,0.16542260767632236,0.14601623014761247,0.17145246438830225,0.08936749112772929,0.08720201715730458,0.0711477008500965,0.12641681172694513,0.18522051164309197,0.16114800094793819,0.11631801941707147,0.1580454042610612,0.08822382025262522,0.08404458981882366,0.1965613719042025,0.02916872965874672,0.16967098780731113,0.17757500614255403,0.18948611560558454,0.1354299616998846,0.058228150114167196,0.08240475316518092,0.1589645971084724,0.08315635923171591,0.07624603301224354,0.08475230282824173
ABREL,0.19559825192781363,0.18032235643072256,0.2745929110055243,0.17226529973300145,0.27074484028254353,0.12234577694560558,0.36115625625734676,0.13264176894139415,1.0,0.31805914397832863,0.3443388160014853,0.2681251343851092,0.2748495199591743,0.2465673485281099,0.23989092548514518,0.2881634415514911,0.225223215086067,0.3021098982566859,0.19687249742452181,0.13272441994323983,0.16085908335282578,0.14917591720944856,0.2445876353009118,0.2640273715365835,0.23322096296251255,0.29397740183990306,0.1676309824666117,0.3145130877798484,0.27455434100775217,0.17851566254785173,0.2717076414283061,0.19781352709862404,0.15312401821946592,0.2775884462026258,0.259410709065679,0.2594142908478092,0.3386763632543315,0.11743568700933738,0.12560715968291078,0.2849027578540456,0.15121660566631887,0.21284953463573847,0.21543636348671258,0.144177668803787,0.18425142188385701,0.23493507739703923,0.24284494012229774,0.20892844515190043,0.21167674530477323,0.10059802167763288,0.20405234005693812,0.24935040352520896,0.3087248834042016,0.30672996801062163,0.3308831860510511,0.3677303332060401,0.23530687310665102,0.23655818662536354,0.22421122692824555,0.3409790591246218,0.39345027263268423,0.3572705146351053,0.11749262565255594,0.38311831423690773,0.4147578015718155,0.2741243454887553,0.2334397572392565,0.05983232838232543,0.35965792525933865,0.35785260744981073,0.23387902924661305,0.28945915747750023,0.19893856008528066,0.3879247447504859,0.24361729211509392,0.2369256349726372,0.24709521643643761,0.26181275588582115,0.1768738872224965,0.1596457978777849,0.2370067557121882,0.2004722088315909,0.2808880164849968,0.4039557255970348,0.2580191295855182,0.27573723314971443,0.08046068142499606,0.1270760178589721,0.17136561577219078,0.21030126134529306,0.3793635578677411,0.35892995585807075,0.1781175964635736,0.21762813034709397,0.07510788881247761,0.2284047173160204,0.386845581353346,0.05631010217526214,0.2163877029363444,0.2777670594966689,0.3325350918355619,0.22531553321029954,0.3208396325443114,0.14758825020402977,0.27696998054939415,0.1621050982342365,0.21528125661277525,0.22076486614923102
ABSLAMC,0.2787528025047889,0.1440725578873397,0.32689424016740354,0.2293152777068615,0.30643464011863103,0.12228306946420649,0.34174479879765685,0.15099749689482703,0.31805914397832863,1.0,0.35605772727319374,0.2860366813581693,0.2731177028958986,0.24635773592699686,0.2559476121006653,0.3328341656639054,0.3004849742595765,0.30503252980589074,0.1174312387491852,0.16979671565391616,0.21286632102383565,0.1491331502803617,0.2646399170294448,0.25208663398144243,0.23685048063486033,0.3113744598261944,0.16415796944392755,0.41129450934728207,0.34906127654386376,0.21702188756599328,0.266476775212351,0.22571923528065382,0.14080164247857352,0.26202840650517134,0.2388020413879274,0.20043419463257003,0.3256873589151371,0.11967879714565566,0.16396740731179577,0.28499107478262975,0.08076803842638967,0.2577801936577942,0.2660457882716475,0.1335234448494012,0.1480559518107431,0.2395386130306891,0.212008953078484,0.2261152243920037,0.2156570062773425,0.16395246679077155,0.21341887524492625,0.15610198631983244,0.36859724658206455,0.3338223854422783,0.3644822298035034,0.3289735380099463,0.22709772485007376,0.23869957624720503,0.15057534624493227,0.23264655787519103,0.375511281125196,0.34858011118673227,0.12872411681586873,0.32523112835259027,0.35423944635870774,0.2519522551972333,0.2977450936874552,0.14191386997050237,0.33809148471579764,0.3350461759021948,0.21675254224635615,0.2742969327692958,0.2076294651005885,0.38893334245871425,0.29112579699549884,0.3074608289644344,0.25036867672580526,0.2635289857279459,0.1611469998998112,0.20895834483293374,0.26278617261938403,0.2231751708683565,0.27947536511004667,0.3851571067118259,0.2776026519098051,0.30023670287428916,0.186416498318085,0.16157888202907292,0.1393774502405939,0.21367095637316638,0.3378738249557829,0.31168331435223756,0.1615066804162456,0.2877423610749996,0.06605766859249836,0.17288143374964823,0.34565790607648983,0.05869988609395789,0.2955555829212,0.2980346015381748,0.23091416553568817,0.2720556179539414,0.2452915982133777,0.15622621565334294,0.2822836485758315,0.20287399046592589,0.16169017561714236,0.2041176374927609
