node,degree,deg_centrality,betweenness,closeness,eigenvector,clustering,community
360ONE,1,0.009345794392523364,0.0,0.14657534246575343,0.010161950214431613,0,3
3MINDIA,1,0.009345794392523364,0.0,0.13753213367609254,0.0019505924481193185,0,4
AARTIIND,12,0.11214953271028036,0.3800035267148651,0.208984375,0.5639181638506635,0,1
AAVAS,1,0.009345794392523364,0.0,0.16666666666666666,0.015773716335357284,0,0
ABB,1,0.009345794392523364,0.0,0.2266949152542373,0.07460457732050987,0,4
ABBOTINDIA,1,0.009345794392523364,0.0,0.13177339901477833,0.017902190752402968,0,5
ABCAPITAL,7,0.06542056074766354,0.1780991006877094,0.2192622950819672,0.08900285577364503,0,6
ABFRL,1,0.009345794392523364,0.0,0.18013468013468015,0.02433098033107849,0,6
ABREL,1,0.009345794392523364,0.0,0.19814814814814816,0.0490761212064293,0,0
ABSLAMC,2,0.018691588785046728,0.018691588785046728,0.17147435897435898,0.03717246806363827,0,3
ACC,5,0.04672897196261682,0.20631281960853465,0.22107438016528927,0.06747030799306902,0,7
ACE,1,0.009345794392523364,0.0,0.15329512893982808,0.006347501672309339,0,9
ADANIENSOL,1,0.009345794392523364,0.0,0.0916095890410959,1.5320186322636413e-05,0,7
ADANIENT,3,0.02803738317757009,0.10774113912890143,0.14078947368421052,0.0019537409159138173,0,7
ADANIGREEN,2,0.018691588785046728,0.018691588785046728,0.1007532956685499,5.604132324893488e-05,0,7
ADANIPORTS,2,0.018691588785046728,0.12343502027861047,0.16066066066066065,0.0060267413427376355,0,7
ADANIPOWER,2,0.018691588785046728,0.07265032622112502,0.1247086247086247,0.0005859532708496257,0,7
AFFLE,2,0.018691588785046728,0.018691588785046728,0.19888475836431227,0.05303994555758878,0,0
AIAENG,1,0.009345794392523364,0.0,0.15781710914454278,0.006555184747957723,0,4
AJANTPHARM,1,0.009345794392523364,0.0,0.1502808988764045,0.05530307590161783,0,5
AKZOINDIA,1,0.009345794392523364,0.0,0.1481994459833795,0.04554705007207545,0,1
ALKEM,1,0.009345794392523364,0.0,0.1168122270742358,0.005289257194124166,0,5
ALKYLAMINE,1,0.009345794392523364,0.0,0.17313915857605178,0.15416001693117848,0,1
