node,degree,deg_centrality,betweenness,closeness,eigenvector,clustering,community
360ONE,0,0.0,0.0,0.0,,0.0,0
3MINDIA,0,0.0,0.0,0.0,,0.0,1
AARTIIND,0,0.0,0.0,0.0,,0.0,2
AAVAS,0,0.0,0.0,0.0,,0.0,3
ABB,0,0.0,0.0,0.0,,0.0,4
ABBOTINDIA,0,0.0,0.0,0.0,,0.0,5
ABCAPITAL,0,0.0,0.0,0.0,,0.0,6
ABFRL,0,0.0,0.0,0.0,,0.0,7
ABREL,0,0.0,0.0,0.0,,0.0,8
ABSLAMC,0,0.0,0.0,0.0,,0.0,9
ACC,3,0.02803738317757009,0.0,0.028037383177570093,,1.0,13
ACE,0,0.0,0.0,0.0,,0.0,11
ADANIENSOL,1,0.009345794392523364,0.0,0.016822429906542057,,0.0,41
ADANIENT,3,0.02803738317757009,0.0,0.028037383177570093,,1.0,13
ADANIGREEN,3,0.02803738317757009,0.00035267148651031563,0.028037383177570093,,0.3333333333333333,41
ADANIPORTS,3,0.02803738317757009,0.0,0.028037383177570093,,1.0,13
ADANIPOWER,2,0.018691588785046728,0.0,0.02102803738317757,,1.0,41
AFFLE,0,0.0,0.0,0.0,,0.0,17
AIAENG,0,0.0,0.0,0.0,,0.0,18
AJANTPHARM,0,0.0,0.0,0.0,,0.0,19
AKZOINDIA,0,0.0,0.0,0.0,,0.0,20
ALKEM,0,0.0,0.0,0.0,,0.0,21
ALKYLAMINE,0,0.0,0.0,0.0,,0.0,22
ALOKINDS,0,0.0,0.0,0.0,,0.0,23
AMBER,0,0.0,0.0,0.0,,0.0,24
AMBUJACEM,3,0.02803738317757009,0.0,0.028037383177570093,,1.0,13
ANANDRATHI,0,0.0,0.0,0.0,,0.0,26
ANANTRAJ,0,0.0,0.0,0.0,,0.0,27
ANGELONE,0,0.0,0.0,0.0,,0.0,28
APARINDS,0,0.0,0.0,0.0,,0.0,29
APLAPOLLO,0,0.0,0.0,0.0,,0.0,30
APLLTD,0,0.0,0.0,0.0,,0.0,31
APOLLOHOSP,0,0.0,0.0,0.0,,0.0,32
APOLLOTYRE,0,0.0,0.0,0.0,,0.0,33
APTUS,0,0.0,0.0,0.0,,0.0,34
ASAHIINDIA,0,0.0,0.0,0.0,,0.0,35
ASHOKLEY,0,0.0,0.0,0.0,,0.0,36
ASIANPAINT,0,0.0,0.0,0.0,,0.0,37
ASTERDM,0,0.0,0.0,0.0,,0.0,38
ASTRAL,0,0.0,0.0,0.0,,0.0,39
ASTRAZEN,0,0.0,0.0,0.0,,0.0,40
ATGL,2,0.018691588785046728,0.0,0.02102803738317757,,1.0,41
ATUL,0,0.0,0.0,0.0,,0.0,42
AUBANK,0,0.0,0.0,0.0,,0.0,43
AUROPHARMA,0,0.0,0.0,0.0,,0.0,44
AWL,0,0.0,0.0,0.0,,0.0,45
AXISBANK,0,0.0,0.0,0.0,,0.0,46
BAJAJ-AUTO,0,0.0,0.0,0.0,,0.0,47
BAJAJFINSV,1,0.009345794392523364,0.0,0.009345794392523364,,0.0,50
BAJAJHLDNG,0,0.0,0.0,0.0,,0.0,49
BAJFINANCE,1,0.009345794392523364,0.0,0.009345794392523364,,0.0,50
BALKRISIND,0,0.0,0.0,0.0,,0.0,51
BALRAMCHIN,0,0.0,0.0,0.0,,0.0,52
BANDHANBNK,0,0.0,0.0,0.0,,0.0,53
BANKBARODA,1,0.009345794392523364,0.0,0.01246105919003115,,0.0,68
