node,degree,deg_centrality,betweenness,closeness,eigenvector,clustering,community
360ONE,0,0.0,0.0,0.0,,0.0,0
3MINDIA,0,0.0,0.0,0.0,,0.0,1
AARTIIND,3,0.02803738317757009,0.01534120966319873,0.14018691588785046,,0.0,2
AAVAS,0,0.0,0.0,0.0,,0.0,3
ABB,4,0.037383177570093455,5.0381640930045085e-05,0.18197340043134436,,0.8333333333333334,40
ABBOTINDIA,0,0.0,0.0,0.0,,0.0,5
ABCAPITAL,20,0.18691588785046728,0.03360332431924744,0.2557464006062137,,0.42105263157894735,40
ABFRL,0,0.0,0.0,0.0,,0.0,7
ABREL,2,0.018691588785046728,0.0,0.16897530040053405,,1.0,40
ABSLAMC,1,0.009345794392523364,0.0,0.12209828157974073,,0.0,40
ACC,18,0.16822429906542055,0.016061931166384158,0.23656542056074767,,0.5098039215686274,10
ACE,0,0.0,0.0,0.0,,0.0,11
ADANIENSOL,8,0.07476635514018691,0.0,0.1631485659039639,,1.0,10
ADANIENT,9,0.08411214953271028,0.0007423056576645008,0.17362599674183316,,0.8611111111111112,10
ADANIGREEN,8,0.07476635514018691,0.0,0.1631485659039639,,1.0,10
ADANIPORTS,17,0.1588785046728972,0.012520521656009741,0.23079553225438798,,0.5441176470588235,10
ADANIPOWER,8,0.07476635514018691,0.0,0.1631485659039639,,1.0,10
AFFLE,1,0.009345794392523364,0.0,0.1645672490857375,,0.0,40
AIAENG,0,0.0,0.0,0.0,,0.0,12
AJANTPHARM,0,0.0,0.0,0.0,,0.0,13
AKZOINDIA,0,0.0,0.0,0.0,,0.0,14
ALKEM,1,0.009345794392523364,0.0,0.01246105919003115,,0.0,15
ALKYLAMINE,0,0.0,0.0,0.0,,0.0,16
ALOKINDS,0,0.0,0.0,0.0,,0.0,17
AMBER,0,0.0,0.0,0.0,,0.0,18
AMBUJACEM,16,0.14953271028037382,0.010580408633195258,0.22801486319108208,,0.6,10
ANANDRATHI,0,0.0,0.0,0.0,,0.0,19
ANANTRAJ,3,0.02803738317757009,0.007758772703226944,0.17049760040414247,,0.3333333333333333,40
ANGELONE,0,0.0,0.0,0.0,,0.0,20
APARINDS,0,0.0,0.0,0.0,,0.0,21
APLAPOLLO,0,0.0,0.0,0.0,,0.0,22
APLLTD,0,0.0,0.0,0.0,,0.0,23
APOLLOHOSP,0,0.0,0.0,0.0,,0.0,24
APOLLOTYRE,0,0.0,0.0,0.0,,0.0,25
APTUS,0,0.0,0.0,0.0,,0.0,26
ASAHIINDIA,0,0.0,0.0,0.0,,0.0,27
ASHOKLEY,7,0.06542056074766354,0.0002776715437621803,0.19921298573536644,,0.9523809523809523,40
ASIANPAINT,1,0.009345794392523364,0.0,0.009345794392523364,,0.0,28
ASTERDM,0,0.0,0.0,0.0,,0.0,29
ASTRAL,1,0.009345794392523364,0.0,0.14018691588785046,,0.0,40
ASTRAZEN,0,0.0,0.0,0.0,,0.0,30
ATGL,8,0.07476635514018691,0.0,0.1631485659039639,,1.0,10
ATUL,1,0.009345794392523364,0.0,0.10572756226178667,,0.0,2
AUBANK,0,0.0,0.0,0.0,,0.0,31
AUROPHARMA,2,0.018691588785046728,0.00017633574325515782,0.018691588785046728,,0.0,15
AWL,8,0.07476635514018691,0.0,0.1631485659039639,,1.0,10
AXISBANK,1,0.009345794392523364,0.0,0.15262285197467593,,0.0,32
BAJAJ-AUTO,0,0.0,0.0,0.0,,0.0,33
